GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INT,HA_MID,HA_END
15,1,Adaptation,RH,1,61,0,-17,3,1,CCW,2.120333919,1.818904939,1.201275735
15,1,Adaptation,RH,2,62,0,-8,3,1,CCW,5.62673998,5.474761316,6.9202715
15,1,Adaptation,RH,3,63,0,-16,3,3,CCW,5.067031691,5.279000246,15.28272334
15,1,Adaptation,RH,4,64,0,-13,1,1,CCW,2.894888214,2.855271224,13.90927673
15,1,Adaptation,RH,5,65,0,-12,1,1,CCW,5.712136961,5.763977253,9.274005855
15,1,Adaptation,RH,6,66,0,-13,1,1,CCW,6.723353904,6.834338805,12.58658757
15,1,Adaptation,RH,7,67,0,-6,3,3,CCW,5.734545447,5.530261112,5.694655283
15,1,Adaptation,RH,8,68,0,-12,1,1,CCW,7.166780493,7.204803051,13.02206334
15,1,Adaptation,RH,9,69,0,-18,3,3,CCW,7.924570089,7.837612421,13.88840279
15,1,Adaptation,RH,10,70,0,-12,1,3,CCW,5.780051159,5.485217828,11.10006695
15,1,Adaptation,RH,11,71,0,-12,3,3,CCW,6.94553946,7.024186054,9.53147812
15,1,Adaptation,RH,12,72,0,-9,1,3,CCW,5.535246762,5.366430522,7.889850791
15,1,Adaptation,RH,13,73,0,-12,3,3,CCW,10.57332018,10.47275329,10.3112167
15,1,Adaptation,RH,14,74,0,-13,3,1,CCW,8.651138812,8.383294843,12.2669325
15,1,Adaptation,RH,15,75,0,-14,3,1,CCW,10.5084588,10.38786606,11.38160702
15,1,Adaptation,RH,16,76,0,-11,3,1,CCW,6.552941923,6.640848408,7.429221261
15,1,Adaptation,RH,17,77,0,-11,3,3,CCW,9.200499586,9.51480084,6.257441982
15,1,Adaptation,RH,18,78,0,-20,1,1,CCW,6.959807576,6.733497838,16.85659387
15,1,Adaptation,RH,19,79,0,-3,1,1,CCW,12.15995313,12.22901686,4.096181029
15,1,Adaptation,RH,20,80,0,-21,3,1,CCW,9.686427949,9.791105485,17.68691568
15,1,Adaptation,RH,21,81,0,-13,3,3,CCW,9.707247685,9.916040487,10.38875075
15,1,Adaptation,RH,22,82,0,-16,1,3,CCW,6.23230151,6.484275322,16.82371246
15,1,Adaptation,RH,23,83,0,-5,3,3,CCW,7.707638802,7.486462901,4.952084424
15,1,Adaptation,RH,24,84,0,-10,1,1,CCW,6.465451181,6.47772581,8.850285072
15,1,Adaptation,RH,25,85,0,-11,3,1,CCW,8.750628434,8.996767171,5.319450788
15,1,Adaptation,RH,26,86,0,-14,3,3,CCW,10.2483747,10.35739585,11.47257375
15,1,Adaptation,RH,27,87,0,-5,3,1,CCW,5.740855578,6.020850769,5.246981786
15,1,Adaptation,RH,28,88,0,-14,1,3,CCW,6.487393589,6.730691253,11.54581006
15,1,Adaptation,RH,29,89,0,-7,1,1,CCW,9.242575539,9.71133546,7.691358041
15,1,Adaptation,RH,30,90,0,-12,3,3,CCW,11.69651963,11.17251498,11.24353871
15,1,Adaptation,RH,31,91,0,-15,3,1,CCW,9.173785886,9.107415774,14.64513123
15,1,Adaptation,RH,32,92,0,-13,1,3,CCW,6.074380916,6.00665421,13.93947052
15,1,Adaptation,RH,33,93,0,-16,3,1,CCW,7.638393053,7.353668492,10.2888306
15,1,Adaptation,RH,34,94,0,-16,1,1,CCW,12.52717899,12.42293165,13.63972731
15,1,Adaptation,RH,35,95,0,-9,3,1,CCW,10.56375828,10.84820492,9.7584248
15,1,Adaptation,RH,36,96,0,-13,1,3,CCW,8.077280503,8.089139196,14.67741195
15,1,Adaptation,RH,37,97,0,-8,3,1,CCW,8.257296777,8.449413823,8.660089715
15,1,Adaptation,RH,38,98,0,-7,3,3,CCW,10.83889975,11.16588119,9.718626892
15,1,Adaptation,RH,39,99,0,-16,1,1,CCW,9.890848112,9.832794313,15.96057388
15,1,Adaptation,RH,40,100,0,-12,3,1,CCW,12.03823611,11.95631264,7.154389057
15,1,Adaptation,RH,41,101,0,-12,3,3,CCW,12.99233037,12.72890644,12.77908565
15,1,Adaptation,RH,42,102,0,-16,1,1,CCW,9.476482444,9.421023091,12.60114599
15,1,Adaptation,RH,43,103,0,-14,1,3,CCW,13.65183726,13.50889872,13.54302317
15,1,Adaptation,RH,44,104,0,-13,1,3,CCW,9.242791953,9.198934866,12.20118342
15,1,Adaptation,RH,45,105,0,-17,3,1,CCW,4.565291367,4.520174744,14.97554568
15,1,Adaptation,RH,46,106,0,-16,3,3,CCW,11.96552298,11.81985018,13.0879303
