GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,1,Adaptation,RH,1,61,0,-25,3,1,CCW,-3.286983238,-3.179449811,-2.471138351
16,1,Adaptation,RH,2,62,0,-34,3,1,CCW,14.78920397,15.15598097,23.79083011
16,1,Adaptation,RH,3,63,0,-38,3,3,CCW,16.5362501,16.08448072,35.66548798
16,1,Adaptation,RH,4,64,0,-31,1,1,CCW,11.90026225,12.07269691,27.75371344
16,1,Adaptation,RH,5,65,0,-30,1,1,CCW,18.58475349,18.64850654,27.7793575
16,1,Adaptation,RH,6,66,0,-34,1,1,CCW,20.2071361,19.94559844,32.61996477
16,1,Adaptation,RH,7,67,0,-23,3,3,CCW,21.02459274,20.93787434,22.86508442
16,1,Adaptation,RH,8,68,0,-29,1,1,CCW,16.37566582,16.44419071,30.11663052
16,1,Adaptation,RH,9,69,0,-22,3,3,CCW,22.14389954,22.85957893,20.79671504
16,1,Adaptation,RH,10,70,0,-32,1,3,CCW,14.17629407,14.73018148,30.52384829
16,1,Adaptation,RH,11,71,0,-30,3,3,CCW,19.90745361,19.63747622,25.31271199
16,1,Adaptation,RH,12,72,0,-31,1,3,CCW,16.42794412,17.03492881,25.14481535
16,1,Adaptation,RH,13,73,0,-28,3,3,CCW,17.25099563,17.39607647,25.455631
16,1,Adaptation,RH,14,74,0,-23,3,1,CCW,22.1401314,22.12752042,17.50383614
16,1,Adaptation,RH,15,75,0,-34,3,1,CCW,24.40933065,24.55227923,33.62961238
16,1,Adaptation,RH,16,76,0,-27,3,1,CCW,25.62662559,25.58563238,26.58657309
16,1,Adaptation,RH,17,77,0,-31,3,3,CCW,25.57331539,25.54848652,27.40787218
16,1,Adaptation,RH,18,78,0,-34,1,1,CCW,21.90536875,22.20330828,34.0835768
16,1,Adaptation,RH,19,79,0,-32,1,1,CCW,31.32604118,31.60784807,31.32564363
16,1,Adaptation,RH,20,80,0,-27,3,1,CCW,23.1409024,23.42434088,26.16232677
16,1,Adaptation,RH,21,81,0,-29,3,3,CCW,24.54637721,24.68067663,28.93985581
16,1,Adaptation,RH,22,82,0,-29,1,3,CCW,20.04312189,19.80162451,25.17366918
16,1,Adaptation,RH,23,83,0,-34,3,3,CCW,20.58624456,20.72969229,26.26468615
16,1,Adaptation,RH,24,84,0,-35,1,1,CCW,19.54306673,19.86911379,33.47692075
16,1,Adaptation,RH,25,85,0,-26,3,1,CCW,24.30804488,24.40582363,23.66380199
16,1,Adaptation,RH,26,86,0,-26,3,3,CCW,25.34624527,25.55318388,27.36330358
16,1,Adaptation,RH,27,87,0,-31,3,1,CCW,22.98345455,23.12883157,25.85003753
16,1,Adaptation,RH,28,88,0,-30,1,3,CCW,26.83011814,26.76942996,25.94252648
16,1,Adaptation,RH,29,89,0,-31,1,1,CCW,20.83602794,20.89480224,30.50804894
16,1,Adaptation,RH,30,90,0,-26,3,3,CCW,25.63297583,25.47551926,26.29057903
16,1,Adaptation,RH,31,91,0,-25,3,1,CCW,23.40542377,23.5831029,26.22514176
16,1,Adaptation,RH,32,92,0,-30,1,3,CCW,23.43490897,23.20549494,34.7155204
16,1,Adaptation,RH,33,93,0,-35,3,1,CCW,20.68203212,20.46825803,29.15303549
16,1,Adaptation,RH,34,94,0,-33,1,1,CCW,23.96131601,23.79941627,32.2595624
16,1,Adaptation,RH,35,95,0,-30,3,1,CCW,29.46379251,28.87493568,28.85783819
16,1,Adaptation,RH,36,96,0,-28,1,3,CCW,28.14312047,28.43079653,26.27071493
16,1,Adaptation,RH,37,97,0,-25,3,1,CCW,20.23342109,20.2984592,24.85062392
16,1,Adaptation,RH,38,98,0,-34,3,3,CCW,25.16916499,25.01817932,31.03638925
16,1,Adaptation,RH,39,99,0,-33,1,1,CCW,19.26995831,19.54401801,34.32258518
16,1,Adaptation,RH,40,100,0,-29,3,1,CCW,30.65692709,30.31462381,28.18966574
16,1,Adaptation,RH,41,101,0,-32,3,3,CCW,27.76544633,27.74499784,34.61251555
16,1,Adaptation,RH,42,102,0,-31,1,1,CCW,26.32656519,26.27827578,31.97387795
16,1,Adaptation,RH,43,103,0,-34,1,3,CCW,26.79767009,26.86151144,34.99470379
16,1,Adaptation,RH,44,104,0,-37,1,3,CCW,21.82029322,21.88286493,39.7662583
16,1,Adaptation,RH,45,105,0,-23,3,1,CCW,18.15622539,17.98324941,22.66045656
